raw,canonical,method,score,at
iCracked,iCracked,passthrough,60.0,2026-08-27T12:16:30Z
BookSolid,BookSolid,passthrough,42.1,2026-08-27T12:16:30Z
Marft,Marft,passthrough,44.4,2026-08-27T12:16:30Z
Matterport,Matterport,passthrough,53.3,2026-08-27T12:16:30Z
Shoptiques,Shoptiques,passthrough,44.4,2026-08-27T12:16:30Z
Tilt,Tilt,passthrough,61.5,2026-08-27T12:16:30Z
Flutter,Flutter,passthrough,53.3,2026-08-27T12:16:30Z
YourMechanic,YourMechanic,passthrough,47.6,2026-08-27T12:16:30Z
Glider,Glider,passthrough,54.5,2026-08-27T12:16:30Z
GiveSpark,GiveSpark,passthrough,44.4,2026-08-27T12:16:30Z
Shopular,Shopular,passthrough,42.9,2026-08-27T12:16:30Z
Streak,Streak,passthrough,61.5,2026-08-27T12:16:30Z
AgileMD,AgileMD,passthrough,57.1,2026-08-27T12:16:30Z
Zenbox,Zenbox,passthrough,42.1,2026-08-27T12:16:30Z
Sift,Sift,passthrough,46.2,2026-08-27T12:16:30Z
LeadGenius,LeadGenius,passthrough,53.3,2026-08-27T12:16:30Z
Perfect Audience,Perfect Audience,passthrough,55.2,2026-08-27T12:16:30Z
Userfox,Userfox,passthrough,46.2,2026-08-27T12:16:30Z
Inporia,Inporia,passthrough,52.6,2026-08-27T12:16:30Z
Beetailer,Beetailer,passthrough,50.0,2026-08-27T12:16:30Z
Talkable,Talkable,passthrough,53.3,2026-08-27T12:16:30Z
Custora,Custora,passthrough,76.9,2026-08-27T12:16:30Z
Humble Bundle,Humble Bundle,passthrough,41.7,2026-08-27T12:16:30Z
Flotype,Flotype,passthrough,46.2,2026-08-27T12:16:30Z
Fivestars,Fivestars,passthrough,50.0,2026-08-27T12:16:30Z
Mailgun,Mailgun,passthrough,57.1,2026-08-27T12:16:30Z
TalkBin,TalkBin,passthrough,71.4,2026-08-27T12:16:30Z
SimplyListed,SimplyListed,passthrough,47.6,2026-08-27T12:16:30Z
Presto,Presto,passthrough,50.0,2026-08-27T12:16:30Z
Teevox,Teevox,passthrough,42.9,2026-08-27T12:16:30Z
Rapportive,Rapportive,passthrough,50.0,2026-08-27T12:16:30Z
GazeHawk,GazeHawk,passthrough,46.2,2026-08-27T12:16:30Z
Post.fm,Post.fm,passthrough,43.5,2026-08-27T12:16:30Z
Mertado,Mertado,passthrough,42.9,2026-08-27T12:16:30Z
500Friends,500Friends,passthrough,44.4,2026-08-27T12:16:30Z
Fabricly,Fabricly,passthrough,58.8,2026-08-27T12:16:30Z
Fithub,Fithub,passthrough,50.0,2026-08-27T12:16:30Z
Directed Edge,Directed Edge,passthrough,50.0,2026-08-27T12:16:30Z
Olark,Olark,passthrough,50.0,2026-08-27T12:16:30Z
Instantq,Instantq,passthrough,53.3,2026-08-27T12:16:30Z
Wattvision,Wattvision,passthrough,47.1,2026-08-27T12:16:30Z
Volantio,Volantio,passthrough,50.0,2026-08-27T12:16:30Z
reMail,reMail,passthrough,61.5,2026-08-27T12:16:30Z
Posterous,Posterous,passthrough,48.0,2026-08-27T12:16:30Z
Frogmetrics,Frogmetrics,passthrough,54.5,2026-08-27T12:16:30Z
JustSpotted,JustSpotted,passthrough,47.1,2026-08-27T12:16:30Z
Claimspotting,Claimspotting,passthrough,43.5,2026-08-27T12:16:30Z
Zenter,Zenter,passthrough,57.1,2026-08-27T12:16:30Z
Scribd,Scribd,passthrough,46.2,2026-08-27T12:16:30Z
Twitch,Twitch,passthrough,47.1,2026-08-27T12:16:30Z
ZeroMailer,ZeroMailer,passthrough,50.0,2026-08-27T12:16:30Z
Canopy Labs,Canopy Labs,passthrough,61.5,2026-08-27T12:16:30Z
Zentail,Zentail,passthrough,61.5,2026-08-27T12:16:30Z
Soylent,Soylent,passthrough,50.0,2026-08-27T12:16:30Z
Vayable,Vayable,passthrough,66.7,2026-08-27T12:16:30Z
Hipset,Hipset,passthrough,46.2,2026-08-27T12:16:30Z
Keychain Logistics,Keychain Logistics,passthrough,57.1,2026-08-27T12:16:30Z
Tastemaker,Tastemaker,passthrough,50.0,2026-08-27T12:16:30Z
Celery,Celery,passthrough,57.1,2026-08-27T12:16:30Z
GetGoing,GetGoing,passthrough,52.6,2026-08-27T12:16:30Z
Plivo,Plivo,passthrough,46.2,2026-08-27T12:16:30Z
Thread,Thread,passthrough,60.0,2026-08-27T12:16:30Z
StyleUp,StyleUp,passthrough,50.0,2026-08-27T12:16:30Z
Swish,Swish,passthrough,46.2,2026-08-27T12:16:30Z
Cheetah,Cheetah,passthrough,61.5,2026-08-27T12:16:30Z
RADAR,RADAR,passthrough,50.0,2026-08-27T12:16:30Z
BeatDeck,BeatDeck,passthrough,50.0,2026-08-27T12:16:30Z
FlightCar,FlightCar,passthrough,53.3,2026-08-27T12:16:30Z
Semantics3,Semantics3,passthrough,52.6,2026-08-27T12:16:30Z
Teespring,Teespring,passthrough,58.8,2026-08-27T12:16:30Z
Airware,Airware,passthrough,62.5,2026-08-27T12:16:30Z
Posmetrics,Posmetrics,passthrough,50.0,2026-08-27T12:16:30Z
Crowdery,Crowdery,passthrough,57.1,2026-08-27T12:16:30Z
EasyPost,EasyPost,passthrough,50.0,2026-08-27T12:16:30Z
"Estimote, Inc.","Estimote, Inc.",passthrough,50.0,2026-08-27T12:16:30Z
Hum,Hum,passthrough,57.1,2026-08-27T12:16:30Z
Cratejoy,Cratejoy,passthrough,52.6,2026-08-27T12:16:30Z
Casetext,Casetext,passthrough,47.6,2026-08-27T12:16:30Z
LocalOn,LocalOn,passthrough,50.0,2026-08-27T12:16:30Z
Lob,Lob,passthrough,36.4,2026-08-27T12:16:30Z
Butter Systems,Butter Systems,passthrough,66.7,2026-08-27T12:16:30Z
42,42,passthrough,33.3,2026-08-27T12:16:30Z
AirHelp,AirHelp,passthrough,57.1,2026-08-27T12:16:30Z
