schemaVersion,recordType,source.name,source.url,collectedAt,content.company,content.title,content.date,content.is_remote,content.role_family,content.location
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5390791008,2026-08-27T12:15:48Z,Anthropic,"Applied AI Strategist, EMEA",2026-08-26T15:07:11Z,False,Other,"London, UK"
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5391184008,2026-08-27T12:15:48Z,Anthropic,"AWS GTM Partnership Lead, Global System Integrators",2026-08-26T15:43:54Z,False,Other,"San Francisco, CA | New York City, NY | Seattle, WA"
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5407184008,2026-08-27T12:15:48Z,Anthropic,"Corporate Counsel, M&A",2026-08-27T03:13:30Z,False,Other,"San Francisco, CA | New York City, NY | Seattle, WA"
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5358146008,2026-08-27T12:15:48Z,Anthropic,Corporate Development Integration Lead,2026-08-26T19:26:12Z,False,Other,"San Francisco, CA"
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5391293008,2026-08-27T12:15:48Z,Anthropic,"Enterprise Account Executive, Automotive",2026-08-26T14:52:28Z,False,Sales,"Paris, France"
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5390980008,2026-08-27T12:15:48Z,Anthropic,"GTM Programs Manager, AMER",2026-08-26T17:59:27Z,False,Other,"San Francisco, CA | New York City, NY"
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5390976008,2026-08-27T12:15:48Z,Anthropic,Head of GTM Programs,2026-08-26T23:11:11Z,True,Other,"Remote-Friendly (Travel Required) | San Francisco, CA"
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5390939008,2026-08-27T12:15:48Z,Anthropic,"Head of Sales Strategy, Global GTM",2026-08-26T16:31:32Z,False,Sales,"San Francisco, CA | New York City, NY"
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5392054008,2026-08-27T12:15:48Z,Anthropic,"Product Designer, Core Apps",2026-08-26T16:11:18Z,False,Design,"San Francisco, CA | New York City, NY | Seattle, WA"
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5406106008,2026-08-27T12:15:48Z,Anthropic,"Product Manager, Growth",2026-08-27T04:59:27Z,False,Product,"San Francisco, CA | New York City, NY | Seattle, WA"
1.0,JOB,Anthropic Careers,https://job-boards.greenhouse.io/anthropic/jobs/5406817008,2026-08-27T12:15:48Z,Anthropic,"Technical Program Manager, Billing",2026-08-26T20:16:57Z,False,Product,"San Francisco, CA | New York City, NY"
1.0,JOB,Scale AI Careers,https://job-boards.greenhouse.io/scaleai/jobs/4727671005,2026-08-27T12:15:48Z,Scale AI,Deployment Strategist - DHS/DOJ,2026-08-26T18:52:15Z,False,Other,"Washington, DC"
1.0,JOB,Scale AI Careers,https://job-boards.greenhouse.io/scaleai/jobs/4728014005,2026-08-27T12:15:48Z,Scale AI,"Machine Learning Research Scientist, Evaluations",2026-08-26T18:51:42Z,False,Research,"San Francisco, CA; Seattle, WA; New York, NY"
