schemaVersion,recordType,source.name,source.url,collectedAt,content.productName,content.startupName,content.pricingModel,content.extractedBy,content.startupNameRaw
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/gencraft,2026-08-27T12:21:53Z,Gencraft,Gencraft,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/looq-ai,2026-08-27T12:21:54Z,Looq AI,Looq AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/vexub,2026-08-27T12:21:53Z,Vexub,Vexub,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/hostinger-reach,2026-08-27T12:21:53Z,Hostinger Reach,Hostinger Reach,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/teal-resume-builder,2026-08-27T12:21:54Z,Teal Resume Builder,Teal Resume Builder,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/trade-ideas,2026-08-27T12:21:54Z,Trade Ideas,Trade Ideas,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/drafthorse-ai,2026-08-27T12:21:55Z,Drafthorse AI,Drafthorse AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/replika,2026-08-27T12:21:55Z,Replika,Replika,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/wistia-remix,2026-08-27T12:21:55Z,Wistia Remix,Wistia Remix,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/ai-text-humanizer,2026-08-27T12:21:55Z,AI Text Humanizer,AI Text Humanizer,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/ai-prompt-library,2026-08-27T12:21:56Z,AI Prompt Library,AI Prompt Library,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/angry-email-translator,2026-08-27T12:21:56Z,Angry Email Translator,Angry Email Translator,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/eightfold,2026-08-27T12:21:56Z,Eightfold,Eightfold,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/ebsynth,2026-08-27T12:21:56Z,EbSynth,EbSynth,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/shopify,2026-08-27T12:21:59Z,Shopify,Shopify,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/arya-ai,2026-08-27T12:21:57Z,Arya.ai,Arya.ai,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/xano,2026-08-27T12:21:57Z,Xano,Xano,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/lumana,2026-08-27T12:21:57Z,Lumana,Lumana,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/mimicpc,2026-08-27T12:21:58Z,MimicPC,MimicPC,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/sapien,2026-08-27T12:21:58Z,Sapien,Sapien,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/ella,2026-08-27T12:21:58Z,Ella by Novella,Ella by Novella,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/davinci-resolve,2026-08-27T12:21:59Z,DaVinci Resolve,DaVinci Resolve,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/scalenut,2026-08-27T12:21:59Z,Scalenut,Scalenut,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/twistly,2026-08-27T12:21:59Z,Twistly,Twistly,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/intellemo,2026-08-27T12:22:00Z,Intellemo,Intellemo,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/storycraft,2026-08-27T12:22:00Z,Storycraft,Storycraft,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/rowspeak,2026-08-27T12:22:00Z,RowSpeak,RowSpeak,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/flowstep,2026-08-27T12:22:01Z,Flowstep,Flowstep,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/gpt-engineer,2026-08-27T12:22:02Z,GPT Engineer,GPT Engineer,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/hubspot-aeo,2026-08-27T12:22:01Z,HubSpot AEO,HubSpot AEO,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/code-genius,2026-08-27T12:22:01Z,Code Genius,Code Genius,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/kustomer,2026-08-27T12:22:02Z,Kustomer,Kustomer,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/quizlet,2026-08-27T12:22:02Z,Quizlet,Quizlet,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/instories,2026-08-27T12:22:02Z,Instories,Instories,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/final-touch,2026-08-27T12:22:03Z,Final Touch,Final Touch,FREE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/artigen-pro-ai,2026-08-27T12:22:03Z,Artigen Pro AI,Artigen Pro AI,FREE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/book-ai-writer,2026-08-27T12:22:03Z,Book AI Writer,Book AI Writer,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/veedio,2026-08-27T12:22:03Z,VEED.IO,VEED.IO,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/smartsheet,2026-08-27T12:22:04Z,Smartsheet,Smartsheet,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/meetgeek,2026-08-27T12:22:04Z,MeetGeek,MeetGeek,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/box,2026-08-27T12:22:05Z,Box,Box,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/phototagai,2026-08-27T12:22:04Z,PhotoTag.ai,PhotoTag.ai,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/lucidpic,2026-08-27T12:22:05Z,Lucidpic,Lucidpic,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/beedone,2026-08-27T12:22:05Z,BeeDone,BeeDone,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/redactable,2026-08-27T12:22:06Z,Redactable,Redactable,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/huntr,2026-08-27T12:22:06Z,Huntr,Huntr,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/gajix,2026-08-27T12:22:05Z,GAJIX,GAJIX,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/bagoodex,2026-08-27T12:22:06Z,Bagoodex,Bagoodex,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/trint,2026-08-27T12:22:06Z,Trint,Trint,FREEMIUM,heuristic,
